(0,0) 0.00278874
(1,1) 0.00278874
(2,2) 0.00479521
(2,3) -0.0039
(2,4) -0.0238339
(2,5) 0
(3,2) -0.0039
(3,3) 0.00959042
(3,4) -1.5277e-13
(3,5) -0.0476679
(3,9) -0.0039
(3,10) 0
(4,2) -2.71513e-14
(4,3) -1.74031e-25
(4,4) 0.0285727
(4,5) -0.0039
(5,2) 0
(5,3) -5.4302e-14
(5,4) -0.0039
(5,5) 0.0571454
(5,9) -1.23981e-25
(5,10) -0.0039
(6,6) 0.00278874
(7,7) 0.00278874
(8,8) 0.00278874
(9,3) -0.0039
(9,5) -1.08834e-13
(9,9) 0.00959042
(9,10) -0.0476679
(9,13) -0.0039
(9,14) 0
(10,3) 0
(10,5) -0.0039
(10,9) -5.4302e-14
(10,10) 0.0571454
(10,13) -1.74006e-25
(10,14) -0.0039
(11,11) 0.00278874
(12,12) 0.00278874
(13,9) -0.0039
(13,10) -1.52747e-13
(13,13) 0.00479521
(13,14) -0.0238339
(14,9) 0
(14,10) -0.0039
(14,13) -2.71508e-14
(14,14) 0.0285727
(15,15) 0.00278874
