(0,0) 0.000853562
(1,1) 0.000853562
(2,2) 0.00857181
(2,3) -0.00117
(2,4) -8.14524e-15
(2,5) 0
(3,2) -0.00117
(3,3) 0.0171436
(3,4) -5.22096e-26
(3,5) -1.62906e-14
(3,9) -0.00117
(3,10) 0
(4,2) -0.00715018
(4,3) -4.5831e-14
(4,4) 0.00143856
(4,5) -0.00117
(5,2) 0
(5,3) -0.0143004
(5,4) -0.00117
(5,5) 0.00287712
(5,9) -3.26503e-14
(5,10) -0.00117
(6,6) 0.000853562
(7,7) 0.000853562
(8,8) 0.000853562
(9,3) -0.00117
(9,5) -3.71944e-26
(9,9) 0.0171436
(9,10) -1.62906e-14
(9,13) -0.00117
(9,14) 0
(10,3) 0
(10,5) -0.00117
(10,9) -0.0143004
(10,10) 0.00287712
(10,13) -4.58242e-14
(10,14) -0.00117
(11,11) 0.000853562
(12,12) 0.000853562
(13,9) -0.00117
(13,10) -5.22016e-26
(13,13) 0.00857181
(13,14) -8.14538e-15
(14,9) 0
(14,10) -0.00117
(14,13) -0.00715018
(14,14) 0.00143856
(15,15) 0.000853562
